,"Qld: Labour force total: Persons: Seas adj"
,"LLHM.ANQLD"
,"'000 sa"
Jan-2006,2077.4
Feb-2006,2091.4
Mar-2006,2098.5
Apr-2006,2092.4
May-2006,2107.6
Jun-2006,2107.2
Jul-2006,2126.6
Aug-2006,2139.8
Sep-2006,2156.9
Oct-2006,2134.7
Nov-2006,2152.9
Dec-2006,2165.1
Jan-2007,2179.0
Feb-2007,2185.0
Mar-2007,2193.4
Apr-2007,2186.5
May-2007,2184.7
Jun-2007,2192.4
Jul-2007,2189.1
Aug-2007,2199.8
Sep-2007,2212.6
Oct-2007,2212.1
Nov-2007,2226.5
Dec-2007,2219.5
Jan-2008,2212.5
Feb-2008,2228.9
Mar-2008,2233.9
Apr-2008,2242.6
May-2008,2252.4
Jun-2008,2254.9
Jul-2008,2273.4
Aug-2008,2282.0
Sep-2008,2279.6
Oct-2008,2287.4
Nov-2008,2297.3
Dec-2008,2295.4
Jan-2009,2316.1
Feb-2009,2330.7
Mar-2009,2328.5
Apr-2009,2327.4
May-2009,2330.6
Jun-2009,2320.4
Jul-2009,2333.1
Aug-2009,2331.0
Sep-2009,2349.8
Oct-2009,2335.7
Nov-2009,2332.6
Dec-2009,2349.6
Jan-2010,2336.2
Feb-2010,2346.3
Mar-2010,2353.1
Apr-2010,2363.2
May-2010,2369.3
Jun-2010,2373.5
Jul-2010,2372.7
Aug-2010,2350.6
Sep-2010,2370.7
Oct-2010,2384.0
Nov-2010,2390.2
Dec-2010,2407.4
Jan-2011,2387.9
Feb-2011,2370.8
Mar-2011,2382.8
Apr-2011,2398.5
May-2011,2391.6
Jun-2011,2397.7
Jul-2011,2404.1
Aug-2011,2421.9
Sep-2011,2405.7
Oct-2011,2432.2
Nov-2011,2418.0
Dec-2011,2407.4
Jan-2012,2429.0
Feb-2012,2413.2
Mar-2012,2422.5
Apr-2012,2413.5
May-2012,2427.0
Jun-2012,2407.3
Jul-2012,2426.1
Aug-2012,2440.0
Sep-2012,2428.3
Oct-2012,2420.8
Nov-2012,2445.0
Dec-2012,2428.5
Jan-2013,2448.5
Feb-2013,2433.3
Mar-2013,2430.1
Apr-2013,2423.4
May-2013,2430.2
Jun-2013,2439.4
Jul-2013,2446.0
Aug-2013,2442.6
Sep-2013,2465.0
Oct-2013,2460.6
Nov-2013,2458.4
Dec-2013,2454.3
Jan-2014,2437.0
Feb-2014,2465.3
Mar-2014,2489.1
Apr-2014,2491.1
May-2014,2488.2
Jun-2014,2492.3
Jul-2014,2495.1
Aug-2014,2490.4
Sep-2014,2477.1
Oct-2014,2482.0
Nov-2014,2465.9
Dec-2014,2477.7
Jan-2015,2468.7
Feb-2015,2492.8
Mar-2015,2478.8
Apr-2015,2482.6
May-2015,2497.6
Jun-2015,2487.9
Jul-2015,2491.8
Aug-2015,2497.9
Sep-2015,2514.2
Oct-2015,2527.7
Nov-2015,2515.4
Dec-2015,2526.2
Jan-2016,2547.2
Feb-2016,2523.1
Mar-2016,2513.8
Apr-2016,2518.8
May-2016,2512.7
Jun-2016,2506.7
Jul-2016,2510.3
Aug-2016,2500.8
Sep-2016,2499.0
Oct-2016,2473.4
Nov-2016,2512.3
Dec-2016,2510.6
Jan-2017,2516.5
Feb-2017,2521.9
Mar-2017,2538.9
Apr-2017,2557.2
May-2017,2559.2
Jun-2017,2564.9
Jul-2017,2588.8
Aug-2017,2595.2
Sep-2017,2599.2
Oct-2017,2619.5
Nov-2017,2612.3
Dec-2017,2617.2
Jan-2018,2646.5
Feb-2018,2650.7
Mar-2018,2633.9
Apr-2018,2643.2
May-2018,2636.7
Jun-2018,2642.1
Jul-2018,2645.3
Aug-2018,2666.9
Sep-2018,2640.6
Oct-2018,2643.6
Nov-2018,2669.0
Dec-2018,2680.0
Jan-2019,2651.6
Feb-2019,2648.2
Mar-2019,2675.0
Apr-2019,2680.2
May-2019,2692.5
Jun-2019,2684.7
Jul-2019,2708.8
Aug-2019,2705.1
Sep-2019,2736.1
Oct-2019,2719.8
Nov-2019,2731.0
Dec-2019,2711.1
Jan-2020,2730.4
Feb-2020,2726.8
Mar-2020,2720.8
Apr-2020,2619.8
May-2020,2562.5
Jun-2020,2626.9
Jul-2020,2671.3
Aug-2020,2713.5
Sep-2020,2744.9
Oct-2020,2779.8
Nov-2020,2759.2
Dec-2020,2788.9
Jan-2021,2783.4
Feb-2021,2779.4
Mar-2021,2792.5
Apr-2021,2791.0
May-2021,2798.2
Jun-2021,2801.5
Jul-2021,2805.3
Aug-2021,2787.3
Sep-2021,2807.2
Oct-2021,2815.3
Nov-2021,2817.5
Dec-2021,2824.7
Jan-2022,2837.6
Feb-2022,2851.4
Mar-2022,2855.6
Apr-2022,2863.5
May-2022,2889.0
Jun-2022,2895.8
Jul-2022,2891.1
Aug-2022,2882.7
Sep-2022,2895.1
Oct-2022,2881.4
Nov-2022,2884.6
Dec-2022,2895.2
Jan-2023,2912.4
