,"Qld: Unemployment rate: Persons: Seas adj"
,"LUHM.ARQLD"
,"Percent sa"
Jan-2006,5.0
Feb-2006,5.0
Mar-2006,4.7
Apr-2006,4.6
May-2006,4.7
Jun-2006,4.5
Jul-2006,4.4
Aug-2006,4.5
Sep-2006,4.5
Oct-2006,3.8
Nov-2006,4.1
Dec-2006,4.1
Jan-2007,4.0
Feb-2007,4.1
Mar-2007,4.0
Apr-2007,3.5
May-2007,3.4
Jun-2007,3.6
Jul-2007,3.6
Aug-2007,3.7
Sep-2007,3.7
Oct-2007,3.7
Nov-2007,3.7
Dec-2007,3.5
Jan-2008,3.5
Feb-2008,3.7
Mar-2008,3.6
Apr-2008,3.8
May-2008,3.8
Jun-2008,3.7
Jul-2008,3.7
Aug-2008,3.3
Sep-2008,3.7
Oct-2008,3.8
Nov-2008,3.8
Dec-2008,3.9
Jan-2009,4.5
Feb-2009,4.5
Mar-2009,4.8
Apr-2009,5.0
May-2009,5.4
Jun-2009,5.5
Jul-2009,5.7
Aug-2009,5.4
Sep-2009,6.2
Oct-2009,5.8
Nov-2009,5.9
Dec-2009,5.8
Jan-2010,5.5
Feb-2010,5.6
Mar-2010,5.5
Apr-2010,5.7
May-2010,5.6
Jun-2010,5.2
Jul-2010,5.5
Aug-2010,5.2
Sep-2010,5.2
Oct-2010,5.4
Nov-2010,5.4
Dec-2010,5.8
Jan-2011,5.6
Feb-2011,5.6
Mar-2011,5.5
Apr-2011,5.3
May-2011,5.2
Jun-2011,5.2
Jul-2011,5.6
Aug-2011,6.1
Sep-2011,5.2
Oct-2011,5.5
Nov-2011,5.6
Dec-2011,5.2
Jan-2012,5.5
Feb-2012,5.7
Mar-2012,5.5
Apr-2012,5.2
May-2012,5.8
Jun-2012,5.1
Jul-2012,5.8
Aug-2012,5.9
Sep-2012,6.2
Oct-2012,6.0
Nov-2012,6.1
Dec-2012,6.2
Jan-2013,5.6
Feb-2013,5.8
Mar-2013,5.9
Apr-2013,5.5
May-2013,5.8
Jun-2013,6.3
Jul-2013,5.8
Aug-2013,5.8
Sep-2013,5.8
Oct-2013,5.9
Nov-2013,5.8
Dec-2013,6.1
Jan-2014,6.2
Feb-2014,6.1
Mar-2014,6.1
Apr-2014,6.2
May-2014,6.2
Jun-2014,6.2
Jul-2014,6.6
Aug-2014,6.6
Sep-2014,6.4
Oct-2014,7.1
Nov-2014,6.9
Dec-2014,6.3
Jan-2015,6.5
Feb-2015,6.6
Mar-2015,6.5
Apr-2015,6.5
May-2015,6.2
Jun-2015,5.9
Jul-2015,6.4
Aug-2015,6.3
Sep-2015,6.2
Oct-2015,6.2
Nov-2015,6.0
Dec-2015,5.9
Jan-2016,6.5
Feb-2016,5.5
Mar-2016,6.1
Apr-2016,6.4
May-2016,6.3
Jun-2016,6.2
Jul-2016,6.0
Aug-2016,6.1
Sep-2016,6.3
Oct-2016,5.8
Nov-2016,6.0
Dec-2016,6.1
Jan-2017,6.2
Feb-2017,6.8
Mar-2017,6.3
Apr-2017,6.2
May-2017,6.0
Jun-2017,6.4
Jul-2017,6.1
Aug-2017,5.6
Sep-2017,5.9
Oct-2017,5.8
Nov-2017,5.8
Dec-2017,6.0
Jan-2018,6.1
Feb-2018,6.4
Mar-2018,6.1
Apr-2018,6.5
May-2018,6.2
Jun-2018,5.9
Jul-2018,6.1
Aug-2018,6.3
Sep-2018,6.1
Oct-2018,6.1
Nov-2018,6.3
Dec-2018,6.0
Jan-2019,6.0
Feb-2019,5.6
Mar-2019,6.2
Apr-2019,6.0
May-2019,6.3
Jun-2019,6.5
Jul-2019,6.4
Aug-2019,6.3
Sep-2019,6.5
Oct-2019,6.3
Nov-2019,6.2
Dec-2019,5.6
Jan-2020,6.2
Feb-2020,5.6
Mar-2020,5.7
Apr-2020,7.1
May-2020,7.8
Jun-2020,7.9
Jul-2020,8.9
Aug-2020,7.2
Sep-2020,7.5
Oct-2020,7.6
Nov-2020,7.5
Dec-2020,7.3
Jan-2021,7.0
Feb-2021,6.2
Mar-2021,5.9
Apr-2021,5.9
May-2021,5.4
Jun-2021,5.2
Jul-2021,5.3
Aug-2021,5.2
Sep-2021,5.0
Oct-2021,5.2
Nov-2021,4.7
Dec-2021,4.5
Jan-2022,4.3
Feb-2022,4.2
Mar-2022,3.9
Apr-2022,4.4
May-2022,4.0
Jun-2022,4.0
Jul-2022,3.8
Aug-2022,3.3
Sep-2022,3.8
Oct-2022,3.3
Nov-2022,3.3
Dec-2022,3.8
Jan-2023,3.8
